"Source:","/home/ivan/devel/freeds-pcb/sanchez/freeds-sanchez/freeds-sanchez.kicad_sch"
"Date:","vie 14 jul 2023 13:41:45"
"Tool:","Eeschema 7.0.3+dfsg-1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","38"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Compras","Grupo","Nota"
"1","1","AE1","Antenna","Device:Antenna","","~","","https://www.aliexpress.com/item/32276257238.html","Básico",""
"2","2","C1, C2","10µF","Device:C_Small","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~","","https://www.aliexpress.com/item/1005001715033995.html","Pinza Amperimétrica",""
"3","1","D2","1N4007","Diode:1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","","","",""
"4","1","F1","Fuse","Device:Fuse","Fuse:Fuseholder_Clip-5x20mm_Littelfuse_100_Inline_P20.50x4.60mm_D1.30mm_Horizontal","~","","https://www.aliexpress.com/item/1005002876255086.html","Básico",""
"5","2","J1, J2","Clema K1000","Connector:Screw_Terminal_01x02","componentes-auxiliares:Clema 20x14mm K1000 2P","~","","https://www.aliexpress.com/item/4000170287617.html","Básico",""
"6","2","J3, J4","Inter-PCB","Connector_Generic:Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","","Básico",""
"7","1","J5","Pinza Amper.","Connector:Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","https://www.aliexpress.com/item/32758380907.html","Pinza Amperimétrica",""
"8","1","J6","CT Clamp","Connector:AudioJack2","Connector_Audio:Jack_3.5mm_CUI_SJ1-3525N_Horizontal","~","","https://www.aliexpress.com/item/1005004657628758.html https://www.aliexpress.com/item/32871877936.html","Pinza Amperimétrica","PJ3F07 / PJ-324M"
"9","1","J7","Temp sensor","Connector:Conn_01x03_Pin","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","https://www.aliexpress.com/item/32758380907.html","Temperatura",""
"10","1","J8","Temp Sensor","Connector:Conn_01x03_Pin","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","https://www.aliexpress.com/item/32758380907.html","Temperatura",""
